"locus_tag","gene_id"
"SAOUHSC_00001","3919798"
"SAOUHSC_00002","3919799"
"SAOUHSC_00003","3919176"
"SAOUHSC_00004","3919177"
"SAOUHSC_00005","3919178"
"SAOUHSC_00006","3919179"
"SAOUHSC_00007","3919180"
"SAOUHSC_00008","3919181"
"SAOUHSC_00009","3919182"
"SAOUHSC_00010","3919183"
"SAOUHSC_00012","3919184"
"SAOUHSC_00013","3919185"
"SAOUHSC_00014","3919186"
"SAOUHSC_00015","3919187"
"SAOUHSC_00017","3919188"
"SAOUHSC_00018","3919189"
"SAOUHSC_00019","3919190"
"gene-SAOUHSC_T00018",NA
"gene-SAOUHSC_T00011",NA
"SAOUHSC_00020","3919191"
"SAOUHSC_00021","3919192"
"SAOUHSC_00022","3919193"
"SAOUHSC_00023","3919194"
"SAOUHSC_00024","3919195"
"SAOUHSC_00025","3919293"
"SAOUHSC_00026","3919294"
"SAOUHSC_00027","3919295"
"SAOUHSC_00028","3919296"
"SAOUHSC_00029","3919297"
"SAOUHSC_00030","3919298"
"SAOUHSC_00031","3919299"
"SAOUHSC_00032","3919300"
"SAOUHSC_00033","3919301"
"SAOUHSC_00034","3919302"
"SAOUHSC_00035","3919303"
"SAOUHSC_00036","3919304"
"SAOUHSC_00037","3919305"
"SAOUHSC_00038","3919306"
"SAOUHSC_00039","3919307"
"SAOUHSC_00040","3919308"
"SAOUHSC_00041","3919309"
"SAOUHSC_00042","3919310"
"SAOUHSC_00043","3919311"
"SAOUHSC_00044","3919077"
"SAOUHSC_00045","3919078"
"SAOUHSC_00046","3919079"
"SAOUHSC_00047","3919080"
"SAOUHSC_00049","3919081"
"SAOUHSC_00050","3919082"
"SAOUHSC_00051","3919083"
"SAOUHSC_00052","3919084"
"SAOUHSC_00053","3919085"
"SAOUHSC_00054","3919086"
"SAOUHSC_00055","3919087"
"SAOUHSC_00056","3919088"
"SAOUHSC_00057","3919089"
"SAOUHSC_00058","3919090"
"SAOUHSC_00060","3919091"
"SAOUHSC_00061","3919092"
"SAOUHSC_00062","3919093"
"SAOUHSC_00064","3919094"
"SAOUHSC_00065","3919095"
"SAOUHSC_00067","3919096"
"SAOUHSC_00069","3919448"
"SAOUHSC_00070","3919449"
"SAOUHSC_00071","3919450"
"SAOUHSC_00072","3919451"
"SAOUHSC_00074","3919452"
"SAOUHSC_00075","3919453"
"SAOUHSC_00076","3919454"
"SAOUHSC_00077","3919455"
"SAOUHSC_00078","3919456"
"SAOUHSC_00079","3919457"
"SAOUHSC_00080","3919458"
"SAOUHSC_00081","3919459"
"SAOUHSC_00082","3919460"
"SAOUHSC_00083","3919461"
"gene-SAOUHSC_A00084",NA
"SAOUHSC_00084","3919462"
"SAOUHSC_00085","3919463"
"SAOUHSC_00086","3919464"
"SAOUHSC_00087","3919465"
"SAOUHSC_00088","3919466"
"SAOUHSC_00089","3919800"
"SAOUHSC_00090","3919801"
"SAOUHSC_00091","3919802"
"SAOUHSC_00092","3919803"
"SAOUHSC_00093","3919804"
"SAOUHSC_00094","3919805"
"SAOUHSC_00096","3919806"
"gene-SAOUHSC_A00097",NA
"SAOUHSC_00097","3919807"
"SAOUHSC_00099","3919808"
"SAOUHSC_00100","3919809"
"SAOUHSC_00101","3919810"
"SAOUHSC_00102","3919811"
"SAOUHSC_00103","3919812"
"SAOUHSC_00104","3919813"
"SAOUHSC_00105","3919814"
"SAOUHSC_00106","3919815"
"SAOUHSC_00107","3919816"
"SAOUHSC_00108","3919817"
"SAOUHSC_00109","3919818"
