"locus_tag","gene_id","pathways"
"SAOUHSC_00001","3919798","sao02020_Two-component_system"
"SAOUHSC_00002","3919799","sao03030_DNA_replication, sao03430_Mismatch_repair, sao03440_Homologous_recombination"
"SAOUHSC_00003","3919176",NA
"SAOUHSC_00004","3919177","sao03440_Homologous_recombination"
"SAOUHSC_00005","3919178",NA
"SAOUHSC_00006","3919179",NA
"SAOUHSC_00007","3919180",NA
"SAOUHSC_00008","3919181","sao00340_Histidine_metabolism, sao01100_Metabolic_pathways"
"SAOUHSC_00009","3919182","sao00970_Aminoacyl-tRNA_biosynthesis"
"SAOUHSC_00010","3919183",NA
"SAOUHSC_00012","3919184",NA
"SAOUHSC_00013","3919185","sao00270_Cysteine_and_methionine_metabolism, sao00920_Sulfur_metabolism, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01120_Microbial_metabolism_in_diverse_environments, sao01230_Biosynthesis_of_amino_acids"
"SAOUHSC_00014","3919186",NA
"SAOUHSC_00015","3919187",NA
"SAOUHSC_00017","3919188","sao03010_Ribosome"
"SAOUHSC_00018","3919189","sao03030_DNA_replication"
"SAOUHSC_00019","3919190","sao00230_Purine_metabolism, sao00250_Alanine,_aspartate_and_glutamate_metabolism, sao01100_Metabolic_pathways, sao01232_Nucleotide_metabolism, sao01240_Biosynthesis_of_cofactors"
"gene-SAOUHSC_T00018",NA,NA
"gene-SAOUHSC_T00011",NA,NA
"SAOUHSC_00020","3919191","sao02020_Two-component_system"
"SAOUHSC_00021","3919192","sao02020_Two-component_system"
"SAOUHSC_00022","3919193",NA
"SAOUHSC_00023","3919194",NA
"SAOUHSC_00024","3919195",NA
"SAOUHSC_00025","3919293",NA
"SAOUHSC_00026","3919294",NA
"SAOUHSC_00027","3919295",NA
"SAOUHSC_00028","3919296",NA
"SAOUHSC_00029","3919297",NA
"SAOUHSC_00030","3919298",NA
"SAOUHSC_00031","3919299",NA
"SAOUHSC_00032","3919300",NA
"SAOUHSC_00033","3919301",NA
"SAOUHSC_00034","3919302",NA
"SAOUHSC_00035","3919303",NA
"SAOUHSC_00036","3919304",NA
"SAOUHSC_00037","3919305","sao00920_Sulfur_metabolism, sao01120_Microbial_metabolism_in_diverse_environments"
"SAOUHSC_00038","3919306",NA
"SAOUHSC_00039","3919307",NA
"SAOUHSC_00040","3919308",NA
"SAOUHSC_00041","3919309",NA
"SAOUHSC_00042","3919310",NA
"SAOUHSC_00043","3919311",NA
